"V1","V2","V3","V4"
0.447249147249147,0.892664092664093,0.597350630628081,0.563305382500429
0.457508482508482,0.937966537966538,0.569857185716172,0.584000015329939
0.475120375120375,0.920109395109395,0.557548657547822,0.589736786563412
0.439177489177489,0.937065637065637,0.582733573572354,0.563455167402536
0.471965571965572,0.93996138996139,0.569149445539081,0.568259425612367
0.561148161148161,0.928700128700129,0.467276351504691,0.670158846629435
0.437974937974938,0.955341055341055,0.576355623003046,0.575936058289
0.365928553428553,0.862902187902188,0.683630437220433,0.48671566906861
0.481826281826282,0.96981981981982,0.525603328768798,0.619102311749371
0.573143073143073,0.955341055341055,0.441830805784977,0.693034200387142
0.487380112380112,0.924131274131274,0.54269406917197,0.598201030553972
0.49011754011754,0.948519948519948,0.524665765070777,0.608867933867934
0.515951240951241,0.951640926640927,0.503167286322407,0.631722656800056
0.490651990651991,0.937001287001287,0.535370494515935,0.608660100533166
0.466646866646867,0.951640926640927,0.555872674558572,0.585364902857163
0.44459826959827,0.990990990990991,0.557250898887808,0.586698619670756
0.508286008286008,0.919305019305019,0.516819935694412,0.61842306254071
0.479968604968605,0.977477477477477,0.526534542209319,0.619953745340742
0.490188715188715,0.983108108108108,0.515904606047082,0.623068185452086
0.420284034989917,0.975225225225225,0.585677791568555,0.559691565651318
0.581887406887407,0.967985842985843,0.440060237508971,0.683800860348848
0.459681272181272,0.917052767052767,0.58006725417779,0.572479796164007
0.426647901647902,0.914736164736165,0.606971631377709,0.553208352743956
0.483989508989509,0.862419562419562,0.579528843845384,0.574585482762896
0.536515774015774,0.964124839124839,0.475022301165871,0.66180731916026
