V1,V2,V3,V4,,,,,
0.981081081,0.872039897,0.129351125,0.923352393,mean,0.928516731,0.777574003,0.235269657,0.8458781
0.923423423,0.786036036,0.227254373,0.849208892,sd,0.040115146,0.055358192,0.062428849,0.046896564
0.939189189,0.753281853,0.254101946,0.836025143,ci upper,0.9363793,0.788424208,0.247505711,0.855069826
0.972972973,0.819980695,0.182036838,0.889949438,ci lower,0.920654162,0.766723797,0.223033602,0.836686373
0.954054054,0.77493565,0.229706316,0.855216774,,,,,
0.972972973,0.805823681,0.196048216,0.881545016,,,,,
0.95045045,0.804247104,0.201926606,0.871257865,,,,,
0.945945946,0.816924067,0.190889072,0.876713545,,,,,
0.945945946,0.799227799,0.207921421,0.866419517,,,,,
0.941441441,0.822490347,0.186919185,0.877955149,,,,,
0.887387387,0.755566281,0.269127189,0.816188552,,,,,
0.894144144,0.709395109,0.309284117,0.791126854,,,,,
0.831081081,0.724903475,0.322818369,0.774369593,,,,,
0.86036036,0.697812098,0.33289151,0.770607727,,,,,
0.864864865,0.687902188,0.340097852,0.766299661,,,,,
0.90990991,0.695881596,0.317181696,0.788632345,,,,,
0.86036036,0.742696268,0.292753206,0.797210052,,,,,
0.912162162,0.768436293,0.247663554,0.834153463,,,,,
0.90990991,0.712934363,0.300870245,0.799468012,,,,,
0.828378378,0.699163449,0.34634753,0.758305761,,,,,
1,0.836422136,0.163577864,0.910925783,,,,,
0.977477477,0.828571429,0.172901761,0.896885912,,,,,
0.95045045,0.7748713,0.230517005,0.853726878,,,,,
0.959459459,0.802638353,0.201482394,0.874070616,,,,,
0.905405405,0.715926641,0.299409103,0.7995942,,,,,
0.959459459,0.78037323,0.223337085,0.860699402,,,,,
0.932432432,0.765637066,0.24390851,0.840842889,,,,,
0.943693694,0.797039897,0.210625743,0.864189131,,,,,
0.966666667,0.82493565,0.178209533,0.890195093,,,,,
0.945945946,0.755598456,0.250307722,0.840125354,,,,,
0.967567568,0.814800515,0.18801785,0.884637197,,,,,
0.93018018,0.794530245,0.217008358,0.857020721,,,,,
0.903153153,0.795238095,0.226509932,0.845767186,,,,,
0.959459459,0.81502574,0.18936476,0.881364529,,,,,
0.960810811,0.854697555,0.150494495,0.904653117,,,,,
0.90990991,0.766859717,0.249941225,0.832282795,,,,,
0.896396396,0.796782497,0.228103179,0.843659181,,,,,
0.945945946,0.793404118,0.213550226,0.862986037,,,,,
0.972972973,0.822265122,0.179778049,0.891293186,,,,,
0.904504505,0.814800515,0.208370437,0.857312377,,,,,
0.918918919,0.75032175,0.262513562,0.826105982,,,,,
0.887387387,0.762966538,0.262424204,0.820486893,,,,,
0.935328185,0.800546976,0.209675827,0.862705069,,,,,
0.906756757,0.776254826,0.242396793,0.836446185,,,,,
0.876126126,0.710199485,0.315165155,0.784485,,,,,
0.912162162,0.801029601,0.217496449,0.852991368,,,,,
0.936936937,0.785649936,0.22343433,0.854650011,,,,,
0.943693694,0.782528958,0.224642058,0.855587942,,,,,
0.914414414,0.781209781,0.234934145,0.842579961,,,,,
0.925675676,0.801512227,0.21194693,0.859131043,,,,,
0.941441441,0.801769627,0.20669878,0.866010051,,,,,
0.903153153,0.769498069,0.250020903,0.830985681,,,,,
0.95045045,0.776415701,0.229008945,0.854663405,,,,,
0.936936937,0.721138996,0.285902797,0.814994957,,,,,
0.93018018,0.777155727,0.233525967,0.846810345,,,,,
0.93018018,0.79501287,0.216551451,0.857301407,,,,,
0.883333333,0.782142857,0.247129209,0.829664046,,,,,
0.936936937,0.771621622,0.236925375,0.846281557,,,,,
0.887837838,0.768211068,0.257500407,0.823703758,,,,,
0.90990991,0.707400257,0.306154918,0.795976576,,,,,
0.922522523,0.771010296,0.241741689,0.839988875,,,,,
0.891891892,0.752831403,0.26977709,0.816482902,,,,,
0.936936937,0.795624196,0.213884126,0.860517627,,,,,
0.855855856,0.692503218,0.339605367,0.765562645,,,,,
0.984234234,0.783944659,0.216629799,0.872745596,,,,,
0.938288288,0.796589447,0.212565727,0.861652131,,,,,
0.890926641,0.792245817,0.234646113,0.838693506,,,,,
0.96981982,0.782110682,0.219969539,0.865909281,,,,,
0.865315315,0.732303732,0.299668577,0.793272509,,,,,
0.851351351,0.77985843,0.265628936,0.814038189,,,,,
0.972972973,0.825836551,0.176248027,0.893387136,,,,,
0.984234234,0.890508366,0.110620872,0.935028435,,,,,
0.981981982,0.881499356,0.119862636,0.929031557,,,,,
0.927927928,0.807078507,0.205944376,0.86329442,,,,,
1,0.865572716,0.134427284,0.927943155,,,,,
0.986486486,0.873133848,0.127583837,0.926355478,,,,,
0.936036036,0.83548906,0.176508465,0.882909161,,,,,
