V1,V2,V3,V4,,,,,
0.959459459,0.739607465,0.26352952,0.835309508,mean,0.89863964,0.655910875,0.359980033,0.758035875
0.936936937,0.680662806,0.325504521,0.78849929,sd,0.042982013,0.049227353,0.057854769,0.047124898
0.891891892,0.620238095,0.39484993,0.731663723,ci upper,0.907064114,0.665559436,0.371319567,0.767272355
0.945945946,0.706724582,0.29821521,0.809021813,ci lower,0.890215165,0.646262314,0.348640498,0.748799395
0.918918919,0.663030888,0.346586676,0.77027934,,,,,
0.945945946,0.693436293,0.311292703,0.800244427,,,,,
0.918918919,0.686068211,0.324233419,0.785602634,,,,,
0.945945946,0.695527671,0.30923331,0.801635279,,,,,
0.918918919,0.690057915,0.32037203,0.788211813,,,,,
0.945945946,0.704054054,0.300841892,0.807269186,,,,,
0.851351351,0.636068211,0.393119279,0.728130172,,,,,
0.864864865,0.600675676,0.421570184,0.708957921,,,,,
0.824324324,0.587323037,0.448513343,0.685928623,,,,,
0.806306306,0.551126126,0.488881378,0.654730888,,,,,
0.824324324,0.589414414,0.446589819,0.687352798,,,,,
0.891891892,0.582014157,0.431740116,0.704378285,,,,,
0.824324324,0.600675676,0.436258936,0.694949573,,,,,
0.864864865,0.619658945,0.403634516,0.722010986,,,,,
0.815315315,0.577284427,0.461299131,0.67595709,,,,,
0.815315315,0.582818533,0.456233284,0.679735887,,,,,
0.918918919,0.666666667,0.343052842,0.772727273,,,,,
0.945945946,0.715122265,0.289960626,0.814496362,,,,,
0.891891892,0.619594595,0.39546888,0.731215794,,,,,
0.882882883,0.675675676,0.344822688,0.76550539,,,,,
0.864864865,0.596428571,0.425595351,0.705991148,,,,,
0.882882883,0.647297297,0.371639093,0.746954785,,,,,
0.891891892,0.655566281,0.361001316,0.755683431,,,,,
0.905405405,0.654954955,0.357776775,0.760080519,,,,,
0.891891892,0.648423423,0.367822583,0.750915852,,,,,
0.891891892,0.64481982,0.371268533,0.748493767,,,,,
0.891891892,0.68043758,0.337353677,0.771946047,,,,,
0.918918919,0.677702703,0.33233972,0.780089442,,,,,
0.923423423,0.682689833,0.326419537,0.785015353,,,,,
0.945945946,0.713963964,0.291098703,0.813744545,,,,,
0.936936937,0.730630631,0.276652863,0.821021995,,,,,
0.891891892,0.657014157,0.359620149,0.756644472,,,,,
0.896396396,0.681724582,0.334713233,0.774459584,,,,,
0.918918919,0.705212355,0.305735012,0.79800566,,,,,
0.918918919,0.692824968,0.317695832,0.790013818,,,,,
0.896396396,0.687419562,0.329302653,0.778121239,,,,,
0.891891892,0.642599743,0.373392966,0.746995927,,,,,
0.869369369,0.612194337,0.409215828,0.71846118,,,,,
0.927927928,0.661743887,0.345849073,0.772550193,,,,,
0.905405405,0.647779923,0.364701412,0.755226608,,,,,
0.878378378,0.601576577,0.416572974,0.714091812,,,,,
0.887387387,0.674774775,0.344170085,0.766612633,,,,,
0.878378378,0.651769627,0.368857983,0.748294081,,,,,
0.905405405,0.646621622,0.365820196,0.75443881,,,,,
0.905405405,0.659491634,0.353403572,0.763126615,,,,,
0.905405405,0.675289575,0.338208512,0.773597486,,,,,
0.878378378,0.675868726,0.346197778,0.763930618,,,,,
0.864864865,0.654472329,0.37101331,0.745101383,,,,,
0.905405405,0.668468468,0.344762663,0.769102244,,,,,
0.878378378,0.624292149,0.394902783,0.729853571,,,,,
0.864864865,0.661229086,0.364728991,0.74946081,,,,,
0.891891892,0.662355212,0.354529781,0.76017416,,,,,
0.871621622,0.651093951,0.371774715,0.745388798,,,,,
0.905405405,0.66509009,0.348012622,0.766861369,,,,,
0.842342342,0.667084942,0.368359027,0.744539201,,,,,
0.828828829,0.566216216,0.466334581,0.672804545,,,,,
0.90990991,0.641634492,0.369515983,0.752578633,,,,,
0.882882883,0.627477477,0.390498975,0.73358536,,,,,
0.90990991,0.674774775,0.337472475,0.774897695,,,,,
0.828828829,0.58018018,0.453374295,0.682564918,,,,,
0.90990991,0.642599743,0.368579934,0.753242176,,,,,
0.936936937,0.668339768,0.337602517,0.780167323,,,,,
0.900900901,0.668018018,0.34645731,0.767175444,,,,,
0.932432432,0.644369369,0.361992434,0.762088041,,,,,
0.869369369,0.609459459,0.411808543,0.716574326,,,,,
0.887387387,0.656113256,0.361855901,0.754423564,,,,,
0.959459459,0.724774775,0.278195003,0.825766392,,,,,
0.932432432,0.742631918,0.266089658,0.826779085,,,,,
0.990990991,0.740057915,0.260098154,0.847336807,,,,,
0.945945946,0.694111969,0.310627314,0.800694167,,,,,
1,0.752284427,0.247715573,0.858632783,,,,,
0.959459459,0.718018018,0.284881333,0.821363254,,,,,
0.936936937,0.733301158,0.27405332,0.822705389,,,,,
0.972972973,0.733301158,0.268064792,0.836304313,,,,,
0.945945946,0.729054054,0.276285263,0.823457584,,,,,
0.994594595,0.738931789,0.261124164,0.847910445,,,,,
0.864864865,0.579440154,0.441737579,0.69394958,,,,,
0.815315315,0.574710425,0.463658986,0.674189258,,,,,
0.882882883,0.606467181,0.410590427,0.719024367,,,,,
0.864864865,0.587805663,0.433780677,0.699914338,,,,,
0.824324324,0.56029601,0.473499252,0.667136858,,,,,
0.864864865,0.588223938,0.433383237,0.700210773,,,,,
0.905405405,0.6497426,0.362806262,0.75655881,,,,,
0.815315315,0.545656371,0.490445273,0.653771126,,,,,
0.871621622,0.634877735,0.387033947,0.734647723,,,,,
0.837837838,0.55466538,0.473940387,0.667459345,,,,,
0.918918919,0.682175032,0.328004348,0.783044046,,,,,
0.896396396,0.667985843,0.347803259,0.765516365,,,,,
0.918918919,0.671396396,0.338458964,0.775895,,,,,
0.918918919,0.667760618,0.341989983,0.773461623,,,,,
0.945945946,0.694787645,0.309961969,0.801143537,,,,,
0.882882883,0.657400257,0.362064915,0.753637327,,,,,
0.932432432,0.67020592,0.336644488,0.779866194,,,,,
0.990990991,0.741602317,0.258554684,0.848348209,,,,,
0.878378378,0.6497426,0.370772255,0.746956372,,,,,
0.918918919,0.676061776,0.333931302,0.779001223,,,,,
