"D" "A" "C" "E" "J" "C" "H" "G" "B" "C" "B" "G" "A" "J" "J" "F" "E" "F" "D" "NA" "C" "C" "F" "J" "G" "F" "B" "B" "D" "G" "G" "I" "F" "A" "D" "E" "A" "G" "G" "D" "B" "F" "D" "G" "B" "C" "C" "F"
"H" "E" "B" "A" "F" "B" "G" "A" "B" "D" "E" "A" "E" "F" "I" "F" "B" "D" "D" "NA" "H" "A" "G" "C" "B" "I" "B" "C" "F" "H" "G" "J" "B" "E" "H" "E" "A" "H" "D" "E" "D" "I" "D" "H" "C" "D" "A" "A"
"A" "B" "B" "D" "E" "E" "H" "A" "A" "C" "D" "J" "F" "I" "J" "F" "A" "F" "C" "NA" "E" "C" "C" "H" "I" "B" "G" "E" "E" "F" "B" "F" "A" "H" "B" "C" "F" "D" "E" "B" "F" "G" "A" "D" "A" "A" "T" "D"
"H" "B" "A" "B" "E" "E" "H" "H" "B" "C" "B" "E" "A" "J" "D" "B" "A" "B" "A" "Q" "F" "C" "C" "A" "C" "C" "I" "F" "C" "D" "C" "J" "F" "D" "F" "F" "A" "G" "B" "C" "B" "G" "D" "B" "B" "B" "J" "C"
"A" "A" "C" "B" "F" "B" "A" "E" "A" "D" "A" "A" "F" "E" "E" "D" "A" "F" "B" "J" "H" "B" "B" "B" "A" "H" "B" "E" "I" "D" "G" "G" "C" "F" "A" "B" "E" "D" "G" "A" "B" "G" "C" "G" "C" "B" "K" "A"
"H" "E" "B" "F" "F" "D" "H" "F" "B" "C" "E" "F" "D" "E" "J" "D" "E" "C" "C" "C" "C" "A" "G" "G" "I" "D" "E" "G" "F" "F" "E" "H" "A" "B" "D" "D" "F" "A" "G" "A" "D" "G" "B" "E" "A" "C" "C" "C"
"F" "A" "A" "F" "H" "D" "E" "F" "B" "B" "E" "A" "C" "A" "D" "G" "A" "C" "E" "NA" "B" "C" "E" "E" "E" "D" "G" "G" "H" "F" "H" "F" "A" "A" "H" "F" "C" "D" "B" "A" "E" "A" "D" "E" "B" "D" "D" "C"
"G" "E" "A" "A" "K" "C" "H" "E" "A" "B" "E" "J" "D" "B" "E" "D" "C" "D" "E" "NA" "G" "C" "F" "F" "G" "G" "E" "A" "F" "D" "D" "B" "E" "H" "B" "G" "D" "G" "G" "D" "D" "B" "C" "C" "B" "D" "P" "F"
"H" "B" "B" "F" "E" "C" "H" "F" "B" "C" "A" "J" "A" "F" "I" "A" "B" "B" "F" "NA" "F" "A" "D" "A" "I" "D" "G" "E" "H" "F" "H" "A" "D" "A" "B" "E" "F" "A" "D" "B" "B" "G" "C" "D" "C" "C" "M" "D"
"H" "C" "A" "A" "K" "E" "A" "A" "A" "D" "E" "J" "B" "A" "J" "H" "D" "D" "E" "NA" "C" "B" "G" "D" "H" "I" "D" "F" "H" "A" "I" "E" "G" "H" "E" "F" "A" "D" "E" "E" "F" "F" "D" "F" "D" "B" "A" "E"
"E" "B" "A" "D" "E" "B" "A" "E" "B" "A" "A" "B" "B" "E" "A" "A" "D" "D" "C" "NA" "I" "C" "C" "C" "C" "J" "G" "E" "F" "A" "A" "H" "D" "F" "D" "A" "F" "D" "D" "A" "D" "F" "B" "C" "C" "D" "F" "C"
"I" "D" "B" "B" "B" "A" "B" "G" "A" "D" "F" "I" "A" "F" "D" "D" "D" "E" "A" "NA" "B" "A" "D" "C" "H" "H" "B" "F" "D" "D" "H" "J" "F" "C" "A" "B" "F" "B" "C" "C" "F" "I" "C" "A" "A" "A" "K" "E"
"E" "E" "A" "C" "C" "E" "E" "A" "A" "D" "F" "H" "D" "D" "G" "E" "A" "D" "F" "NA" "A" "B" "C" "A" "E" "G" "G" "C" "D" "A" "A" "H" "G" "I" "A" "E" "C" "F" "E" "E" "C" "I" "D" "H" "D" "B" "E" "B"
"G" "A" "A" "C" "H" "B" "D" "H" "B" "D" "E" "J" "D" "J" "C" "D" "B" "F" "D" "NA" "E" "C" "B" "F" "E" "I" "G" "G" "D" "D" "H" "J" "C" "B" "G" "G" "C" "D" "B" "C" "C" "G" "C" "E" "B" "D" "P" "B"
"C" "E" "A" "C" "E" "A" "H" "H" "A" "D" "F" "H" "C" "B" "J" "F" "C" "A" "C" "P" "D" "C" "F" "C" "A" "G" "E" "B" "B" "D" "G" "D" "C" "H" "F" "G" "C" "H" "A" "B" "D" "F" "B" "D" "B" "A" "O" "F"
"H" "E" "A" "F" "E" "B" "B" "A" "B" "D" "F" "A" "F" "A" "D" "D" "B" "G" "C" "NA" "I" "A" "A" "I" "H" "F" "G" "B" "D" "B" "G" "A" "G" "I" "A" "E" "B" "F" "B" "D" "B" "E" "B" "F" "D" "A" "H" "C"
"A" "A" "A" "C" "G" "C" "E" "I" "A" "A" "B" "A" "C" "D" "E" "E" "E" "G" "F" "NA" "A" "A" "B" "C" "G" "J" "I" "C" "G" "D" "I" "E" "G" "C" "B" "D" "F" "A" "G" "E" "F" "H" "A" "D" "A" "B" "H" "C"
"F" "B" "A" "C" "I" "C" "E" "C" "A" "E" "E" "J" "E" "G" "H" "G" "A" "D" "A" "V" "G" "A" "C" "C" "J" "B" "I" "E" "I" "E" "B" "F" "A" "F" "A" "G" "B" "F" "G" "E" "B" "G" "C" "E" "B" "B" "O" "A"
"A" "D" "B" "A" "B" "A" "C" "H" "B" "B" "F" "G" "D" "J" "D" "G" "D" "F" "C" "NA" "C" "C" "A" "E" "E" "J" "C" "F" "H" "A" "A" "H" "A" "B" "F" "B" "E" "H" "A" "C" "F" "B" "D" "B" "B" "B" "R" "E"
"E" "A" "A" "A" "B" "C" "A" "C" "A" "D" "D" "J" "D" "F" "F" "F" "E" "E" "B" "S" "G" "A" "C" "G" "F" "G" "G" "D" "B" "A" "I" "C" "C" "C" "G" "E" "E" "I" "G" "B" "B" "H" "A" "D" "D" "D" "H" "C"
