"C" "A" "B" "C" "B" "A" "A"
"C" "B" "A" "C" "A" "A" "A"
"C" "A" "A" "B" "A" "A" "A"
"B" "A" "B" "B" "B" "A" "A"
"C" "A" "A" "C" "C" "A" "B"
"A" "A" "A" "A" "C" "A" "B"
"B" "A" "A" "C" "B" "A" "B"
"A" "A" "A" "A" "A" "A" "B"
"C" "B" "A" "C" "C" "C" "B"
"A" "A" "A" "B" "A" "A" "A"
"C" "B" "A" "C" "A" "A" "B"
"C" "A" "B" "B" "C" "A" "B"
"A" "B" "B" "A" "C" "B" "B"
"A" "A" "A" "A" "A" "A" "A"
"A" "A" "A" "B" "B" "A" "A"
"C" "A" "A" "A" "C" "C" "A"
"A" "A" "B" "C" "B" "A" "A"
"C" "B" "B" "A" "B" "B" "A"
"A" "A" "A" "A" "A" "A" "A"
"A" "A" "A" "C" "C" "A" "B"
"C" "A" "A" "A" "B" "B" "A"
"A" "A" "A" "A" "B" "A" "A"
"A" "B" "B" "C" "A" "A" "A"
"C" "A" "A" "C" "B" "B" "B"
"A" "A" "A" "A" "A" "A" "A"
"C" "A" "B" "C" "B" "A" "A"
"C" "A" "B" "C" "B" "A" "A"
"A" "B" "A" "C" "A" "A" "B"
"C" "A" "A" "A" "B" "A" "A"
"A" "B" "A" "A" "C" "C" "A"
"A" "B" "A" "C" "A" "C" "B"
"C" "A" "A" "C" "B" "B" "A"
"C" "A" "A" "C" "B" "C" "A"
"C" "A" "B" "C" "A" "A" "A"
"C" "A" "B" "C" "B" "C" "A"
"C" "A" "A" "A" "C" "A" "A"
"A" "A" "A" "C" "C" "C" "B"
"C" "A" "A" "C" "C" "C" "B"
"C" "A" "B" "C" "C" "C" "A"
"C" "A" "A" "A" "B" "A" "A"
"C" "A" "A" "B" "B" "C" "A"
"A" "A" "A" "C" "A" "A" "B"
"C" "A" "A" "C" "A" "A" "B"
"C" "A" "A" "A" "B" "A" "A"
"C" "A" "A" "C" "C" "A" "B"
"C" "A" "A" "A" "A" "B" "A"
"A" "A" "B" "C" "B" "A" "A"
"A" "B" "B" "C" "C" "B" "A"
"C" "A" "A" "C" "C" "C" "B"
"C" "A" "A" "A" "B" "A" "A"
