"B" "A" "B" "A" "B" "B" "A"
"A" "A" "B" "B" "B" "B" "A"
"A" "A" "C" "B" "B" "B" "A"
"A" "A" "C" "B" "B" "B" "A"
"B" "B" "A" "B" "B" "A" "B"
"A" "A" "C" "B" "B" "A" "B"
"A" "B" "B" "B" "B" "B" "A"
"B" "A" "B" "A" "B" "A" "C"
"A" "A" "C" "A" "B" "A" "A"
"B" "A" "B" "A" "B" "B" "B"
"A" "A" "B" "A" "B" "A" "B"
"A" "B" "C" "A" "B" "A" "A"
"B" "A" "B" "A" "B" "A" "A"
"A" "A" "B" "B" "B" "A" "C"
"B" "A" "B" "A" "B" "A" "C"
"A" "B" "B" "A" "B" "B" "C"
"A" "B" "A" "B" "B" "B" "B"
"A" "A" "C" "B" "B" "A" "B"
"A" "A" "B" "B" "B" "A" "A"
"B" "A" "B" "A" "B" "A" "A"
"A" "A" "C" "B" "B" "A" "A"
"A" "A" "C" "B" "B" "A" "B"
"A" "A" "B" "B" "B" "A" "B"
"B" "A" "B" "A" "B" "B" "A"
"B" "B" "A" "A" "B" "A" "B"
"A" "A" "A" "B" "B" "A" "A"
"A" "A" "B" "B" "B" "A" "A"
"A" "A" "B" "B" "B" "A" "C"
"A" "A" "B" "B" "B" "B" "B"
"A" "A" "C" "B" "B" "B" "B"
"B" "B" "A" "B" "B" "A" "A"
"B" "A" "B" "A" "B" "A" "B"
"A" "A" "B" "B" "B" "A" "B"
"A" "B" "A" "B" "B" "A" "B"
"A" "B" "B" "A" "B" "A" "B"
"A" "B" "B" "B" "B" "A" "B"
"A" "A" "B" "B" "B" "B" "B"
"A" "A" "C" "B" "B" "A" "A"
"A" "B" "C" "A" "B" "B" "B"
"B" "B" "A" "B" "A" "B" "A"
"B" "A" "B" "A" "B" "A" "B"
"B" "A" "B" "A" "B" "B" "B"
"A" "B" "A" "A" "B" "A" "B"
"B" "A" "B" "A" "B" "A" "A"
"A" "B" "A" "A" "B" "A" "B"
"A" "A" "B" "B" "B" "A" "B"
"B" "A" "B" "A" "B" "B" "B"
"A" "A" "C" "B" "B" "A" "B"
"B" "A" "B" "A" "B" "A" "A"
"A" "B" "A" "A" "B" "A" "B"
