"B" "A" "C" "C" "A" "A" "C"
"B" "A" "B" "C" "A" "A" "C"
"B" "A" "B" "C" "A" "B" "C"
"B" "C" "B" "A" "A" "A" "C"
"A" "C" "B" "C" "B" "B" "C"
"A" "C" "A" "C" "B" "A" "C"
"B" "A" "C" "A" "B" "B" "C"
"A" "A" "B" "A" "A" "A" "B"
"B" "A" "B" "C" "A" "A" "B"
"B" "C" "C" "C" "B" "B" "A"
"B" "A" "B" "C" "A" "A" "C"
"B" "A" "C" "C" "A" "A" "C"
"B" "A" "B" "C" "A" "C" "C"
"B" "A" "C" "C" "A" "A" "B"
"B" "A" "C" "C" "A" "B" "C"
"B" "A" "B" "C" "A" "A" "B"
"B" "A" "B" "B" "B" "B" "C"
"B" "A" "C" "A" "A" "A" "C"
"B" "A" "C" "C" "B" "B" "B"
"B" "A" "B" "C" "A" "A" "C"
"B" "A" "C" "B" "A" "B" "C"
"B" "C" "C" "C" "B" "B" "C"
"B" "A" "C" "B" "A" "B" "C"
"B" "C" "C" "C" "B" "B" "B"
"B" "A" "B" "C" "A" "B" "B"
"A" "A" "C" "C" "A" "B" "A"
"B" "A" "C" "C" "A" "A" "C"
"B" "C" "C" "C" "B" "B" "C"
"B" "A" "C" "C" "B" "B" "C"
"A" "A" "B" "C" "A" "B" "C"
"B" "A" "B" "C" "B" "B" "B"
"B" "A" "B" "C" "A" "B" "B"
"B" "A" "C" "C" "A" "B" "B"
"B" "A" "C" "C" "B" "B" "C"
"B" "A" "B" "B" "B" "B" "C"
"B" "A" "B" "A" "B" "B" "C"
"B" "A" "C" "C" "A" "A" "C"
"B" "A" "C" "C" "A" "B" "A"
"B" "A" "B" "C" "A" "B" "B"
"B" "C" "C" "C" "B" "B" "C"
"B" "A" "C" "C" "A" "A" "B"
"B" "A" "C" "B" "B" "B" "C"
"B" "A" "C" "C" "A" "A" "C"
"A" "A" "B" "C" "A" "B" "A"
"B" "A" "B" "A" "B" "B" "A"
"B" "A" "C" "C" "B" "B" "C"
"B" "A" "B" "C" "A" "A" "C"
"B" "A" "C" "C" "A" "A" "C"
"B" "A" "C" "C" "B" "B" "C"
"A" "A" "C" "C" "A" "B" "C"
