"basee","base2"
0,0
0.693147180559945,1
1.79175946922805,2.58496250072116
3.17805383034795,4.58496250072116
4.78749174278205,6.90689059560852
6.5792512120101,9.49185309632967
8.52516136106541,12.2992080183873
10.6046029027453,15.2992080183873
12.8018274800815,18.4691330198296
15.1044125730755,21.791061114717
17.5023078458739,25.2504927333542
19.9872144956619,28.8354552340754
22.5521638531234,32.5358949522165
25.1912211827387,36.3432498742741
27.8992713838409,40.2501404698826
30.6718601060807,44.2501404698826
33.5050734501369,48.337603311133
36.3954452080331,52.5075283125753
39.3398841871995,56.7554558260188
42.3356164607535,61.0773839209062
45.3801388984769,65.469701343685
48.4711813518352,69.9291329623223
51.6066755677644,74.4526949183793
54.7847293981123,79.0376574191004
58.0036052229805,83.6815136088752
61.261701761002,88.3819533270163
64.5575386270063,93.1368408291797
67.8897431371815,97.9441957512373
71.257038967168,102.802176746365
74.6582363488302,107.709067341973
78.0922235533153,112.66326365236
81.557959456115,117.66326365236
85.0544670175815,122.707657771719
88.5808275421977,127.795120612969
92.1361756036871,132.924403629914
95.7196945421432,138.094328631356
99.3306124547874,143.303781996985
102.968198614514,148.551709510429
106.631760260643,153.837111729291
110.320639714757,159.159039824179
114.034211781462,164.516591828797
117.771881399745,169.908909251575
121.533081515439,175.335174006277
125.317271149357,180.794605624915
129.123933639127,186.286458721244
132.952575035616,191.810020677301
136.802722637326,197.364609528979
140.673923648234,202.9495720297
144.565743946345,208.564281873815
148.477766951773,214.20813806359
152.409592584497,219.880563405562
156.360836303079,225.581003123703
160.331128216631,231.308923578266
164.320112263195,237.063811080429
168.327445448428,242.845170793954
172.352797139163,248.652525716012
176.395848406997,254.485415730176
180.456291417544,260.343396725304
184.53382886145,266.226039774666
188.628173423672,272.132930370274
192.739047287845,278.063667707837
196.86618167289,284.017864018224
201.009316399282,289.995143941724
205.168199482641,295.995143941724
209.342586752537,302.017511754752
213.532241494563,308.061905874111
217.736934113954,314.127995064569
221.95644181913,320.215457905819
226.190548323728,326.323982362597
230.439043565777,332.453265379542
234.701723442818,338.603012499047
238.978389561834,344.772937500489
243.268849002983,350.962762059369
247.572914096187,357.172215424998
251.890402209723,363.401034115494
256.22113555001,369.648961628938
260.564940971863,375.915748169632
264.921649798553,382.201150388495
269.29109765102,388.504931136672
273.673124285694,394.826859231559
278.067573440366,401.166709234444
282.47429268763,407.524261239062
286.893133295427,413.899300670409
291.32395009427,420.291618093188
295.766601350761,426.701009029325
300.220948647014,433.127273784027
304.686856765669,439.570217279876
309.164193580147,446.029648898513
313.652829949879,452.50538232948
318.152639620209,458.99723542581
322.663499126726,465.505030066008
327.185287703775,472.028592022065
331.717887196929,478.567750833173
336.261181979199,485.122339684851
340.815058870799,491.692195293182
345.379407062267,498.277157793903
349.95411804077,504.87707063609
354.539085519441,511.491780480205
359.134205369576,518.121137100285
363.739375555564,524.76499329006
368.354496072405,531.423204772811
372.979468885689,538.095630114783
377.614197873919,544.782130641966
382.25858877306,551.482570360107
386.912549123218,558.196815877773
391.57598821733,564.924736332336
396.248817051792,571.666203318738
400.930948278916,578.421090820901
405.622296161145,585.189275145678
410.322776526937,591.970634859203
415.03230672825,598.765050725553
419.750805599545,605.57240564761
424.478193418257,612.392584610026
429.214391866652,619.22547462419
433.959323995015,626.070964675135
438.712914186121,632.928945670262
443.475088120919,639.799310389846
448.245772745385,646.681953439208
453.024896238496,653.576771202515
457.812387981278,660.483661798124
462.608178526875,667.402525035399
467.412199571608,674.333262372961
472.224383926981,681.275776878301
477.044665492586,688.229973188688
481.872979229888,695.19575747335
486.70926113684,702.17303739685
491.553448223298,709.161722083622
496.405478487218,716.161722083622
501.265290891579,723.172949339045
506.132825342035,730.195317152074
511.008022665236,737.228740153611
515.890824587823,744.27313427297
520.781173716044,751.328416708471
525.679013515995,758.394505898929
530.584288294434,765.471321495979
535.49694318017,772.55878433723
540.416924105998,779.65681642019
545.344177791155,786.765340876968
550.278651724286,793.884281949692
555.220294146895,801.013564966637
560.169054037273,808.153116319036
565.124881094874,815.30286343854
570.087725725134,822.462734775319
575.05753902471,829.632659776761
580.034272767131,836.812568866776
585.017879388839,844.002393425656
590.008311975618,851.202065770492
595.005524249382,858.411519136121
600.009470555328,865.630687656584
605.020105849424,872.859506347079
610.037385686239,880.097911086405
615.061266207085,887.345838599848
620.091704128478,894.603226442541
625.128656730891,901.870012983236
630.17208184781,909.14613738851
635.22193785506,916.431539607372
640.278183660408,923.726160356264
645.340778693435,931.029941104441
650.409682895655,938.342824059725
655.484856710889,945.664752154613
660.566261075874,952.995669032727
665.653857411106,960.335519035612
670.747607611913,967.684247189843
675.847474039737,975.041799194461
680.953419513638,982.408121408707
